('6d9h', 'B', 3.6, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70414201183432)
('6eu2', 'E', 3.4, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6mzj', 'C', 4.8, 'ELECTRON MICROSCOPY', '4jdv', 'B', 1.65, 'X-RAY DIFFRACTION', 96.15384615384616)
#('5ni1', 'D', 3.2, 'ELECTRON MICROSCOPY', '1gbu', 'B', 1.8, 'X-RAY DIFFRACTION', 98.63013698630137)
#('3a5x', 'A', 4.0, 'ELECTRON MICROSCOPY', '1io1', 'A', 2.0, 'X-RAY DIFFRACTION', 100.0)
('3j8i', 'H', 4.7, 'ELECTRON MICROSCOPY', '3mn5', 'A', 1.5, 'X-RAY DIFFRACTION', 95.73333333333333)
('3j8x', 'B', 5.0, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 97.50566893424036)
#('5xlr', 'C', 3.8, 'ELECTRON MICROSCOPY', '1zvb', 'A', 1.7, 'X-RAY DIFFRACTION', 100.0)
#('6fhl', 'E', 3.3, 'ELECTRON MICROSCOPY', '6ict', 'E', 1.95, 'X-RAY DIFFRACTION', 95.65217391304348)
#('5w66', 'M', 3.9, 'ELECTRON MICROSCOPY', '3nfi', 'A', 1.9, 'X-RAY DIFFRACTION', 97.85407725321889)
('6avo', 'V', 3.8, 'ELECTRON MICROSCOPY', '5le5', 'J', 1.8, 'X-RAY DIFFRACTION', 99.48979591836735)
#('6avb', 'B', 3.9, 'ELECTRON MICROSCOPY', '6ict', 'E', 1.95, 'X-RAY DIFFRACTION', 95.65217391304348)
#('6ave', 'C', 3.7, 'ELECTRON MICROSCOPY', '2qts', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6gyl', 'O', 4.8, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
#('5kp9', 'B', 5.7, 'ELECTRON MICROSCOPY', '1wa3', 'A', 1.9, 'X-RAY DIFFRACTION', 97.52475247524752)
('5m5c', 'B', 4.8, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
('5m5w', 'E', 3.8, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6b70', 'c', 3.7, 'ELECTRON MICROSCOPY', '4iyd', 'A', 1.66, 'X-RAY DIFFRACTION', 100.0)
('5wve', 'X', 4.4, 'ELECTRON MICROSCOPY', '2p1h', 'A', 1.59, 'X-RAY DIFFRACTION', 100.0)
#('6j8i', 'C', 3.2, 'ELECTRON MICROSCOPY', '5fdy', 'A', 1.85, 'X-RAY DIFFRACTION', 96.66666666666667)
('6evy', 'H', 4.4, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 99.06759906759906)
('6evx', 'K', 4.2, 'ELECTRON MICROSCOPY', '4i4t', 'A', 1.8, 'X-RAY DIFFRACTION', 97.95918367346938)
('6evw', 'H', 4.4, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 99.06759906759906)
('6cdi', 'Q', 3.6, 'ELECTRON MICROSCOPY', '3se8', 'H', 1.9, 'X-RAY DIFFRACTION', 99.21875)
('6gdg', 'B', 4.11, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70238095238095)
#('6dzl', 'F', 4.14, 'ELECTRON MICROSCOPY', '2ebo', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('4cct', 'C', 4.5, 'ELECTRON MICROSCOPY', '4al8', 'C', 1.66, 'X-RAY DIFFRACTION', 98.01980198019803)
('5o66', 'L', 5.9, 'ELECTRON MICROSCOPY', '4u95', 'A', 2.0, 'X-RAY DIFFRACTION', 99.90319457889642)
#('5o6v', 'O0', 3.9, 'ELECTRON MICROSCOPY', '6j5f', 'A', 1.8, 'X-RAY DIFFRACTION', 99.00990099009901)
#('5o6a', 'IG', 3.9, 'ELECTRON MICROSCOPY', '6j5f', 'A', 1.8, 'X-RAY DIFFRACTION', 99.00990099009901)
('6o1l', 'R', 3.37, 'ELECTRON MICROSCOPY', '4jg3', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
('6o1m', 'S', 3.15, 'ELECTRON MICROSCOPY', '4jg3', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
('6o1k', 'N', 3.13, 'ELECTRON MICROSCOPY', '3rer', 'A', 1.7, 'X-RAY DIFFRACTION', 95.0)
('5kmg', 'P', 3.5, 'ELECTRON MICROSCOPY', '3nry', 'A', 2.0, 'X-RAY DIFFRACTION', 96.09375)
('6c1g', 'E', 3.8, 'ELECTRON MICROSCOPY', '3mn5', 'A', 1.5, 'X-RAY DIFFRACTION', 95.73333333333333)
('6c1d', 'R', 3.2, 'ELECTRON MICROSCOPY', '4q5u', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
('6c1h', 'R', 3.9, 'ELECTRON MICROSCOPY', '4q5u', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
#('6c14', 'C', 4.5, 'ELECTRON MICROSCOPY', '6c10', 'A', 1.4, 'X-RAY DIFFRACTION', 100.0)
('5fj9', 'E', 4.6, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('5weo', 'D', 4.2, 'ELECTRON MICROSCOPY', '3t9x', 'B', 1.82, 'X-RAY DIFFRACTION', 95.8041958041958)
('6feq', 'F', 3.6, 'ELECTRON MICROSCOPY', '5niv', 'B', 1.5, 'X-RAY DIFFRACTION', 100.0)
#('6av9', 'B', 3.9, 'ELECTRON MICROSCOPY', '6ict', 'E', 1.95, 'X-RAY DIFFRACTION', 95.65217391304348)
#('6a6b', 'L', 3.07, 'ELECTRON MICROSCOPY', '3q27', 'A', 1.3, 'X-RAY DIFFRACTION', 100.0)
('5owx', '3', 5.2, 'ELECTRON MICROSCOPY', '1zba', '3', 2.0, 'X-RAY DIFFRACTION', 100.0)
('6dde', 'B', 3.5, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70238095238095)
#('5ftm', 'F', 3.2, 'ELECTRON MICROSCOPY', '3tiw', 'A', 1.8, 'X-RAY DIFFRACTION', 99.40119760479043)
#('5ftl', 'F', 3.3, 'ELECTRON MICROSCOPY', '3tiw', 'A', 1.8, 'X-RAY DIFFRACTION', 99.40119760479043)
('5fuu', 'N', 4.2, 'ELECTRON MICROSCOPY', '4nuj', 'A', 1.83, 'X-RAY DIFFRACTION', 96.42857142857143)
('3jal', 'H', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.81093394077449)
('3jak', 'H', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.81093394077449)
('3jat', 'H', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
#('3jau', 'L', 4.8, 'ELECTRON MICROSCOPY', '2ipt', 'L', 2.0, 'X-RAY DIFFRACTION', 95.49549549549549)
#('3jav', 'D', 4.7, 'ELECTRON MICROSCOPY', '1xzz', 'A', 1.8, 'X-RAY DIFFRACTION', 99.09502262443439)
('3jaw', 'D', 3.9, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.81093394077449)
('3jar', 'H', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.81093394077449)
('3jas', 'H', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
#('6gyb', 'S', 3.28, 'ELECTRON MICROSCOPY', '3ov5', 'A', 1.04, 'X-RAY DIFFRACTION', 100.0)
#('6gyk', 'O', 5.1, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
('6gys', 'L', 4.4, 'ELECTRON MICROSCOPY', '4aco', 'A', 1.89, 'X-RAY DIFFRACTION', 98.828125)
#('6nb6', 'M', 4.2, 'ELECTRON MICROSCOPY', '6nb8', 'L', 1.5, 'X-RAY DIFFRACTION', 100.0)
#('6nb7', 'L', 4.5, 'ELECTRON MICROSCOPY', '6nb8', 'L', 1.5, 'X-RAY DIFFRACTION', 100.0)
#('6nb4', 'C', 3.6, 'ELECTRON MICROSCOPY', '4mod', 'A', 1.9, 'X-RAY DIFFRACTION', 98.4375)
#('6nb3', 'C', 3.5, 'ELECTRON MICROSCOPY', '4mod', 'A', 1.9, 'X-RAY DIFFRACTION', 98.4375)
#('6nbq', 'S', 3.1, 'ELECTRON MICROSCOPY', '6a7k', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6nbx', 'S', 3.5, 'ELECTRON MICROSCOPY', '6a7k', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6nby', 'S', 3.1, 'ELECTRON MICROSCOPY', '6a7k', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6d8c', 'M', 3.54, 'ELECTRON MICROSCOPY', '3mn5', 'A', 1.5, 'X-RAY DIFFRACTION', 95.67567567567568)
('6nt4', 'C', 3.5, 'ELECTRON MICROSCOPY', '1aho', 'A', 0.96, 'X-RAY DIFFRACTION', 100.0)
#('5l8q', 'C', 3.2, 'ELECTRON MICROSCOPY', '5g51', 'A', 1.45, 'X-RAY DIFFRACTION', 100.0)
#('6co8', 'E', 3.1, 'ELECTRON MICROSCOPY', '5kvd', 'E', 1.65, 'X-RAY DIFFRACTION', 99.0909090909091)
#('6fuw', 'C', 3.07, 'ELECTRON MICROSCOPY', '2rhk', 'C', 1.95, 'X-RAY DIFFRACTION', 96.49122807017544)
#('5ogw', 'E', 3.8, 'ELECTRON MICROSCOPY', '6ict', 'E', 1.95, 'X-RAY DIFFRACTION', 95.65217391304348)
('6bvn', 'A', 4.0, 'ELECTRON MICROSCOPY', '5gmz', 'A', 1.7, 'X-RAY DIFFRACTION', 97.22222222222223)
('5n61', 'E', 3.4, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6qkc', 'D', 4.1, 'ELECTRON MICROSCOPY', '4yu0', 'A', 1.26, 'X-RAY DIFFRACTION', 95.13888888888889)
#('6bob', 'D', 3.9, 'ELECTRON MICROSCOPY', '2rfa', 'A', 1.7, 'X-RAY DIFFRACTION', 97.74774774774775)
#('6bx3', 'K', 4.3, 'ELECTRON MICROSCOPY', '4rt4', 'E', 2.0, 'X-RAY DIFFRACTION', 100.0)
#('6met', 'A', 4.5, 'ELECTRON MICROSCOPY', '1cdy', 'A', 2.0, 'X-RAY DIFFRACTION', 99.43820224719101)
('6meo', 'A', 3.9, 'ELECTRON MICROSCOPY', '1cdy', 'A', 2.0, 'X-RAY DIFFRACTION', 99.43181818181819)
#('5y88', 's', 3.7, 'ELECTRON MICROSCOPY', '2bay', 'A', 1.5, 'X-RAY DIFFRACTION', 100.0)
#('6cb8', 'A', 3.8, 'ELECTRON MICROSCOPY', '5b5r', 'A', 1.9, 'X-RAY DIFFRACTION', 96.55172413793103)
('5w5y', 'E', 3.8, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6fbs', 'C', 3.07, 'ELECTRON MICROSCOPY', '2rhk', 'C', 1.95, 'X-RAY DIFFRACTION', 96.49122807017544)
#('6ixh', 'Y', 4.0, 'ELECTRON MICROSCOPY', '4y7l', 'A', 1.51, 'X-RAY DIFFRACTION', 100.0)
('5y36', 'A', 5.2, 'ELECTRON MICROSCOPY', '5b2r', 'B', 2.0, 'X-RAY DIFFRACTION', 99.63450292397661)
#('6g9o', 'F', 4.25, 'ELECTRON MICROSCOPY', '6fnw', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
('6did', 'L', 4.71, 'ELECTRON MICROSCOPY', '6cjk', 'B', 1.8, 'X-RAY DIFFRACTION', 100.0)
('5vn8', 'I', 3.6, 'ELECTRON MICROSCOPY', '1n0x', 'H', 1.8, 'X-RAY DIFFRACTION', 100.0)
('5vn3', 'F', 3.7, 'ELECTRON MICROSCOPY', '1cdy', 'A', 2.0, 'X-RAY DIFFRACTION', 99.43181818181819)
#('5sy1', 'D', 3.9, 'ELECTRON MICROSCOPY', '4rjd', 'A', 2.0, 'X-RAY DIFFRACTION', 95.45454545454545)
('5syc', 'B', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
('5syg', 'B', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
('5syf', 'B', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
('5sye', 'B', 3.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
#('6g9l', 'F', 5.01, 'ELECTRON MICROSCOPY', '6fnw', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
#('6mdp', 'H', 3.8, 'ELECTRON MICROSCOPY', '1jth', 'A', 2.0, 'X-RAY DIFFRACTION', 100.0)
#('3jd8', 'A', 4.43, 'ELECTRON MICROSCOPY', '3gkh', 'A', 1.81, 'X-RAY DIFFRACTION', 98.69565217391305)
('5njg', 'F', 3.78, 'ELECTRON MICROSCOPY', '5niv', 'A', 1.5, 'X-RAY DIFFRACTION', 100.0)
('5nj3', 'F', 3.78, 'ELECTRON MICROSCOPY', '5niv', 'A', 1.5, 'X-RAY DIFFRACTION', 100.0)
#('6b3q', 'b', 3.7, 'ELECTRON MICROSCOPY', '4iyd', 'A', 1.66, 'X-RAY DIFFRACTION', 100.0)
('6b3j', 'B', 3.3, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70414201183432)
('5tc1', 'H', 3.6, 'ELECTRON MICROSCOPY', '1msc', 'A', 2.0, 'X-RAY DIFFRACTION', 99.2248062015504)
#('6mu1', 'D', 4.1, 'ELECTRON MICROSCOPY', '1xzz', 'A', 1.8, 'X-RAY DIFFRACTION', 99.09909909909909)
#('6mu2', 'C', 3.9, 'ELECTRON MICROSCOPY', '1xzz', 'A', 1.8, 'X-RAY DIFFRACTION', 99.10714285714286)
('6crq', 'J', 4.2, 'ELECTRON MICROSCOPY', '3se9', 'H', 2.0, 'X-RAY DIFFRACTION', 100.0)
#('6crz', 'C', 3.3, 'ELECTRON MICROSCOPY', '2beq', 'A', 1.6, 'X-RAY DIFFRACTION', 100.0)
#('6crx', 'A', 3.9, 'ELECTRON MICROSCOPY', '2beq', 'A', 1.6, 'X-RAY DIFFRACTION', 100.0)
#('5xmk', 'N', 4.18, 'ELECTRON MICROSCOPY', '2rkl', 'A', 1.5, 'X-RAY DIFFRACTION', 100.0)
#('6fo1', 'G', 3.57, 'ELECTRON MICROSCOPY', '6fm8', 'A', 1.78, 'X-RAY DIFFRACTION', 100.0)
('5jco', 'G', 4.0, 'ELECTRON MICROSCOPY', '4i4t', 'A', 1.8, 'X-RAY DIFFRACTION', 97.48283752860412)
#('5oqv', 'I', 4.0, 'ELECTRON MICROSCOPY', '5myx', 'E', 1.49, 'X-RAY DIFFRACTION', 100.0)
('6i2t', 'D', 5.7, 'ELECTRON MICROSCOPY', '2wsl', 'A', 2.0, 'X-RAY DIFFRACTION', 99.04942965779468)
('6h04', 'E', 5.6, 'ELECTRON MICROSCOPY', '2ova', 'A', 1.5, 'X-RAY DIFFRACTION', 97.02380952380952)
('5vzl', 'A', 3.9, 'ELECTRON MICROSCOPY', '5b2r', 'B', 2.0, 'X-RAY DIFFRACTION', 99.41348973607037)
#('6bfc', 'b', 3.7, 'ELECTRON MICROSCOPY', '1sdb', 'B', 1.65, 'X-RAY DIFFRACTION', 100.0)
('5yi5', 'X', 3.0, 'ELECTRON MICROSCOPY', '4dyx', 'A', 1.85, 'X-RAY DIFFRACTION', 95.93023255813954)
('5w65', 'E', 4.3, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6ew0', 'H', 3.8, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 99.06759906759906)
#('6mid', 'E', 4.0, 'ELECTRON MICROSCOPY', '5kvd', 'E', 1.65, 'X-RAY DIFFRACTION', 99.0909090909091)
('5xxt', 'R', 5.35, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
('5oam', 'B', 5.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
('6hu9', 'T', 3.35, 'ELECTRON MICROSCOPY', '3cx5', 'I', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('5ooe', 'E', 3.6, 'ELECTRON MICROSCOPY', '6ict', 'E', 1.95, 'X-RAY DIFFRACTION', 95.65217391304348)
#('5ood', 'E', 3.7, 'ELECTRON MICROSCOPY', '6ict', 'E', 1.95, 'X-RAY DIFFRACTION', 95.65217391304348)
#('5va2', 'A', 3.8, 'ELECTRON MICROSCOPY', '4hqa', 'A', 1.96, 'X-RAY DIFFRACTION', 100.0)
#('5va3', 'A', 4.0, 'ELECTRON MICROSCOPY', '4hqa', 'A', 1.96, 'X-RAY DIFFRACTION', 100.0)
('5w64', 'E', 4.2, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6njp', 'F', 3.29, 'ELECTRON MICROSCOPY', '2obl', 'A', 1.8, 'X-RAY DIFFRACTION', 97.67441860465117)
#('6gj3', 'H', 4.3, 'ELECTRON MICROSCOPY', '5m2y', 'A', 1.61, 'X-RAY DIFFRACTION', 100.0)
('6niy', 'B', 3.34, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 98.52071005917159)
#('6cu7', 'J', 3.5, 'ELECTRON MICROSCOPY', '3q27', 'A', 1.3, 'X-RAY DIFFRACTION', 100.0)
#('6cuf', 'r', 4.2, 'ELECTRON MICROSCOPY', '3se8', 'L', 1.9, 'X-RAY DIFFRACTION', 95.32710280373831)
#('6ira', 'C', 4.5, 'ELECTRON MICROSCOPY', '1pb8', 'A', 1.45, 'X-RAY DIFFRACTION', 98.67549668874172)
('3j6g', 'R', 5.5, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
('3j6f', 'R', 4.9, 'ELECTRON MICROSCOPY', '4i4t', 'B', 1.8, 'X-RAY DIFFRACTION', 96.78899082568807)
#('5h37', 'B', 4.0, 'ELECTRON MICROSCOPY', '5kvd', 'E', 1.65, 'X-RAY DIFFRACTION', 99.0909090909091)
#('5h30', 'B', 4.4, 'ELECTRON MICROSCOPY', '5kvd', 'E', 1.65, 'X-RAY DIFFRACTION', 99.0909090909091)
('3j9i', 'E', 3.3, 'ELECTRON MICROSCOPY', '1yar', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6qex', 'C', 3.6, 'ELECTRON MICROSCOPY', '5jue', 'H', 1.65, 'X-RAY DIFFRACTION', 100.0)
('6adr', 'R', 3.38, 'ELECTRON MICROSCOPY', '3n2n', 'F', 1.8, 'X-RAY DIFFRACTION', 100.0)
#('6f44', 'U', 4.2, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
#('6h6b', 'J', 3.4, 'ELECTRON MICROSCOPY', '3q27', 'A', 1.3, 'X-RAY DIFFRACTION', 100.0)
('5wjt', 'o', 3.8, 'ELECTRON MICROSCOPY', '5maw', 'D', 1.5, 'X-RAY DIFFRACTION', 99.33774834437087)
('6hjp', 'K', 3.3, 'ELECTRON MICROSCOPY', '6hkg', 'A', 1.87, 'X-RAY DIFFRACTION', 100.0)
('6hjq', 'K', 4.1, 'ELECTRON MICROSCOPY', '6hkg', 'A', 1.87, 'X-RAY DIFFRACTION', 100.0)
('5uz7', 'B', 4.1, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70501474926253)
#('6h68', 'M', 4.6, 'ELECTRON MICROSCOPY', '3nfi', 'A', 1.9, 'X-RAY DIFFRACTION', 97.85407725321889)
('6h67', 'E', 3.6, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('5nil', 'K', 5.3, 'ELECTRON MICROSCOPY', '5lj8', 'A', 1.95, 'X-RAY DIFFRACTION', 100.0)
('6bnw', 'H', 5.5, 'ELECTRON MICROSCOPY', '3mn5', 'A', 1.5, 'X-RAY DIFFRACTION', 95.64032697547684)
('6ci1', 'H', 4.9, 'ELECTRON MICROSCOPY', '1zsx', 'A', 1.9, 'X-RAY DIFFRACTION', 98.76923076923077)
#('6mjz', 'C', 4.3, 'ELECTRON MICROSCOPY', '3n27', 'A', 1.8, 'X-RAY DIFFRACTION', 95.0)
#('6c54', 'B', 5.8, 'ELECTRON MICROSCOPY', '4z9p', 'A', 1.79, 'X-RAY DIFFRACTION', 100.0)
#('6c5v', 'L', 4.8, 'ELECTRON MICROSCOPY', '4llq', 'B', 1.42, 'X-RAY DIFFRACTION', 96.11650485436893)
#('6ebl', 'H', 3.0, 'ELECTRON MICROSCOPY', '1dsx', 'A', 1.6, 'X-RAY DIFFRACTION', 98.85057471264368)
#('5wel', 'D', 4.4, 'ELECTRON MICROSCOPY', '3t9x', 'B', 1.82, 'X-RAY DIFFRACTION', 95.8041958041958)
#('5ujz', 'E', 4.8, 'ELECTRON MICROSCOPY', '6chx', 'A', 1.4, 'X-RAY DIFFRACTION', 99.53271028037383)
#('5vot', 'B', 4.9, 'ELECTRON MICROSCOPY', '2xhd', 'A', 1.8, 'X-RAY DIFFRACTION', 95.83333333333333)
#('5z9w', 'A', 3.9, 'ELECTRON MICROSCOPY', '4z9p', 'A', 1.79, 'X-RAY DIFFRACTION', 100.0)
